SAMPLE_TYPE,COLUMN_NAME,LABEL,LEGAL_VALUES
PHab wadeable: substrate characterization,LDCBF_G08,Log10(Streambed Critical Diameter-at Bankfull -- mm)(PRK 2008),
PHab boatable: bed stability,LDMB_BW5,Log10(Streambed Critical Diameter-at Bankfull - mm) (PRK 1999),
PHab wadeable: bed stability,LDMB_BW5,Log10(Streambed Critical Diameter-at Bankfull - mm) (PRK 1999),
PHab boatable: bed stability,LRBS_BW5,Log10(Relative Bed Stability (Dgm/Dcb) (PRK 1999),
PHab wadeable: bed stability,LRBS_BW5,Log10(Relative Bed Stability (Dgm/Dcb) (PRK 1999),
PHab boatable: bed stability,LRBS_G08,Log10(Relative Bed Stability (Dgm/Dcb) (PRK 2008),
PHab wadeable: bed stability,LRBS_G08,Log10(Relative Bed Stability (Dgm/Dcb) (PRK 2008),
PHab boatable: bed stability,LRBS_TST,Log10[Relative Bed Stability] - Fast est,
PHab wadeable: bed stability,LRBS_TST,Log10[Relative Bed Stability] - Fast est,
PHAB,LRBS_USE,"Log relative bed stability to use in assessing BEDSED_COND, filled in from other variables as needed",
PHab boatable: substrate characterization,LSUB_DMM,Log10(Dgm--Geometric Mean Bed Surface Particle Diameter--mm)),
PHab wadeable: substrate characterization,LSUB_DMM,Log10(Dgm--Geometric Mean Bed Surface Particle Diameter--mm)),
PHab boatable: substrate characterization,LSUB_DMM_NOR,"Log10(Dgm--Geom.Mean Bed Surf.Part Diam,exclud Bdrk+hardpan--mm)",
PHab wadeable: substrate characterization,LSUB_DMM_NOR,"Log10(Dgm--Geom.Mean Bed Surf.Part Diam,exclud Bdrk+hardpan--mm)",
PHab wadeable: substrate characterization,LSUBD_SD,Substrate-StDev LOG10(Diam Class mm),
PHab boatable: substrate characterization,LSUBD_SD,Thalweg sub.-StDev LOG10(Diam Class mm),
PHab wadeable: bed stability,LTEST,Log10[Erod. Substr Dia.(mm)]-Fast est,
PHab boatable: bed stability,LTEST,Log10[Erodible Substr Dia.(mm)]-Fast est,
PHab wadeable: bank morphology,MEDBK_A,Bank Angle--Median (degrees),
PHab wadeable: bank morphology,MEDBKUN,Undercut Distance--Median (m),
PHab boatable: riparian vegetation,PCAN_C,Riparian Canopy Coniferous (Fract reach),
PHab wadeable: riparian vegetation,PCAN_C,Riparian Canopy Coniferous (Fract reach),
PHab boatable: riparian vegetation,PCAN_D,Riparian Canopy Deciduous (Fract. reach),
PHab wadeable: riparian vegetation,PCAN_D,Riparian Canopy Deciduous (Fract. reach),
PHab boatable: riparian vegetation,PCAN_E,Rip Canopy Broadlf evrgrn (Fract of rch),
PHab wadeable: riparian vegetation,PCAN_E,Rip Canopy Broadlf evrgrn (Fract of rch),
PHab boatable: riparian vegetation,PCAN_M,Rip Canopy Mix Conif-Decid (Fract reach),
PHab wadeable: riparian vegetation,PCAN_M,Rip Canopy Mix Conif-Decid (Fract reach),
PHab boatable: riparian vegetation,PCAN_N,Rip Canopy Absent (Fraction of reach),
PHab wadeable: riparian vegetation,PCAN_N,Rip Canopy Absent (Fraction of reach),
PHab boatable: substrate characterization,PCT_BDRK,Bed Surface % Bedrock,
PHab wadeable: substrate characterization,PCT_BDRK,Bed Surface % Bedrock,
PHab boatable: substrate characterization,PCT_BH,Bed Surface % Bedrock + Hardpan,
PHab boatable: substrate characterization,PCT_BIGR,Bed Surface % Larger than Gravel (64mm),
PHab wadeable: substrate characterization,PCT_BIGR,Bed Surface % Larger than Gravel (64mm),
PHab wadeable: substrate characterization,PCT_BL,Substrate Boulders -- 250-4000 mm (%),
PHab boatable: substrate characterization,PCT_BL,Thalweg sub. Boulders -- 250-4000 mm (%),
PHab wadeable: substrate characterization,PCT_CB,Substrate Cobbles -- 64-250 mm (%),
PHab boatable: substrate characterization,PCT_CB,Thalweg sub. Cobbles -- 64-250 mm (%),
PHab boatable: channel habitat,PCT_DR,Percent of Reach that is Dry,
PHab wadeable: channel habitat,PCT_DR,Percent of Reach that is Dry,
PHab boatable: channel habitat,PCT_FA,Falls (% of reach),
PHab wadeable: channel habitat,PCT_FA,Falls (% of reach),
PHab boatable: channel habitat,PCT_FAST,Percent Fast Water Habitat,
PHab wadeable: channel habitat,PCT_FAST,Percent Fast Water Habitat,
PHab boatable: substrate characterization,PCT_FN,Bed Surface % Fines <0.06mm,
PHab wadeable: substrate characterization,PCT_FN,Bed Surface % Fines <0.06mm,
PHab boatable: substrate characterization,PCT_GC,Substrate Coarse Gravel -- 16-64 mm (%),
PHab wadeable: substrate characterization,PCT_GC,Substrate Coarse Gravel -- 16-64 mm (%),
PHab boatable: substrate characterization,PCT_GF,Substrate Fine Gravel -- 2-16 mm (%),
PHab wadeable: substrate characterization,PCT_GF,Substrate Fine Gravel -- 2-16 mm (%),
PHab boatable: channel habitat,PCT_GL,Glide (% of reach),
PHab wadeable: channel habitat,PCT_GL,Glide (% of reach),
PHab boatable: substrate characterization,PCT_GR,Thalweg substrate Gravel -- 16-64 mm (%),
PHab boatable: substrate characterization,PCT_HP,Bed Surface % Hardpan,
Phab wadeable: substrate characterization,PCT_HP,Bed Surface % Hardpan,
PHab boatable: substrate characterization,PCT_OM,Substrate Organic detritus -- (%),
PHab wadeable: substrate characterization,PCT_OM,Substrate Organic detritus -- (%),
PHab boatable: substrate characterization,PCT_ORG,Substrate Wood or Detritus -- (%),
PHab wadeable: substrate characterization,PCT_ORG,Substrate Wood or Detritus -- (%),
PHab wadeable: substrate characterization,PCT_OT,Substrate Miscellaneous -- (%),
PHab boatable: substrate characterization,PCT_OT,Thalweg substrate Miscellaneous -- (%),
PHab boatable: channel characteristics,PCT_OVRB,Ability to see over bank (% reach),
PHab boatable: channel habitat,PCT_POOL,Pools -- All Types (% of reach),
PHab wadeable: channel habitat,PCT_POOL,Pools -- All Types (% of reach),
PHab boatable: substrate characterization,PCT_RC,Substrate Concrete (%),
PHab wadeable: substrate characterization,PCT_RC,Substrate Concrete (%),
PHab boatable: substrate characterization,PCT_RR,Substrate Rough Bedrock (%),
PHab wadeable: substrate characterization,PCT_RR,Substrate Rough Bedrock (%),
PHab boatable: substrate characterization,PCT_RS,Substrate Smooth Bedrock (%),
PHab wadeable: substrate characterization,PCT_RS,Substrate Smooth Bedrock (%),
PHab wadeable: substrate characterization,PCT_SA,Substrate Sand -- .06-2 mm (%),
PHab boatable: substrate characterization,PCT_SA,Thalweg substrate Sand -- .06-2 mm (%),
PHab boatable: substrate characterization,PCT_SAFN,Bed Surface Percent Sand or smaller (<2.0mm),
PHab wadeable: substrate characterization,PCT_SAFN,Bed Surface Percent Sand or smaller (<2.0mm),
PHab boatable: substrate characterization,PCT_SB,Substrate Boulders -- 250-1000 mm (%),
PHab wadeable: substrate characterization,PCT_SB,Substrate Boulders -- 250-1000 mm (%),
PHab boatable: substrate characterization,PCT_SFGF,Bed Surface Fine Gravel or smaller (<16mm),
PHab wadeable: substrate characterization,PCT_SFGF,Bed Surface Fine Gravel or smaller (<16mm),
PHab boatable: general,PCT_SIDE,Percent of reach with side Channels/Bkwtrs,
PHab wadeable: general,PCT_SIDE,Percent of reach with side Channels/Bkwtrs,
PHab boatable: channel habitat,PCT_SLOW,Percent of reach with Pool or Glide Habitat.,
PHab wadeable: channel habitat,PCT_SLOW,Percent of reach with Pool or Glide Habitat.,
PHab boatable: substrate characterization,PCT_WD,Substrate Woody -- (%),
PHab wadeable: substrate characterization,PCT_WD,Substrate Woody -- (%),
PHab boatable: substrate characterization,PCT_XB,Substrate Boulders -- 1000-4000 mm (%),
PHab wadeable: substrate characterization,PCT_XB,Substrate Boulders -- 1000-4000 mm (%),
PHab boatable: slope and bearing,PCTCLINOMETER,Percent of slope values based on hand held clinometer,
PHab wadeable: slope and bearing,PCTCLINOMETER,Percent of slope values based on hand held clinometer,
,PROTOCOL,Field protocol used for site (BOATABLE/WADEABLE),
DESIGN,PSTL_CODE,"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing or \blank\"" values allowed.""",
,PUBLICATION_DATE,Date of data file publication,
PHab boatable: general,REACHLEN,Sample Reach Length (m),
PHab wadeable: general,REACHLEN,Sample Reach Length (m),
PHab boatable: residual pools,RP100,Mean Residual Depth at thalweg (cm),
PHab wadeable: residual pools,RP100,Mean Residual Depth at thalweg (cm),
PHab boatable: residual pools,RPGT50,Resid Pools >50cm deep (number/reach),
PHab wadeable: residual pools,RPGT50,Resid Pools >50cm deep (number/reach),
PHab boatable: residual pools,RPGT75,Resid Pools >75cm deep (number/reach),
PHab wadeable: residual pools,RPGT75,Resid Pools >75cm deep (number/reach),
PHab wadeable: residual pools,RPMXDEP,Maximum residual depth in reach (cm),
PHab boatable: residual pools,RPMXDEP,Maximum residual depth in reach (m),
PHab wadeable: residual pools,RPXDEP,Mean RP depth in reach (cm/pool),
PHab boatable: residual pools,RPXDEP,Mean RP depth in reach (m/pool),
PHab wadeable: channel morphology,SDDEPTH,Std Dev. of Thalweg Depth (cm),
PHab boatable: channel morphology,SDDEPTH,Std Dev. of Thalweg Depth (m),
PHab boatable: channel morphology,SDDEPTH_CM,Std Dev. of Thalweg Depth (cm),
PHab wadeable: channel morphology,SDDEPTH_CM,Std Dev. of Thalweg Depth (cm),
PHab boatable: channel morphology,SDINC_H,Channel Incision Ht.-Std. Dev. (m),
PHab wadeable: channel morphology,SDINC_H,Channel Incision Ht.-Std. Dev. (m),
PHab boatable: channel morphology,SDWD_RAT,Std Dev of Width/Depth Ratio (m/m),
PHab wadeable: channel morphology,SDWD_RAT,Std Dev of Width/Depth Ratio (m/m),
PHab boatable: channel morphology,SDWIDTH,Std Dev. of Wetted Width (m),
PHab wadeable: channel morphology,SDWIDTH,Std Dev. of Wetted Width (m),
PHab boatable: channel morphology,SDWXD,Std Dev. of Wetted Width x Thalweg Depth (m2),
PHab wadeable: channel morphology,SDWXD,Std Dev. of Wetted Width x Thalweg Depth (m2),
PHab boatable: slope & bearing,SINU,Sinuosity of sample reach.,
PHab wadeable: slope & bearing,SINU,Sinuosity of sample reach.,
VERIF,SITE_ID,Site ID,
DESIGN,SITE_ID,"Site ID for the study and year sampled.  Preferred form is NRSnn_MM-xxxxx  where  nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999.  No missing or \blank\"" values allowed.""",
,UID,Unique site visit ID,
,UNIQUE_ID,Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn  where ss state and nnnnn is number that starts at 10001. No missing values allowed.,
PHab boatable: large woody debris,V1W_MSQ,Bankful Channel woody debris (m3/m2),
PHab wadeable: large woody debris,V1W_MSQ,Bankful Channel woody debris (m3/m2),
PHab boatable: large woody debris,V1WM100,Bankful channel woody debris (m3/100m),
PHab wadeable: large woody debris,V1WM100,Bankful channel woody debris (m3/100m),
PHab wadeable: large woody debris,V2W_MSQ,LWD Vol in Bkf chnl (m3/m2-SMLX),
PHab boatable: large woody debris,V2W_MSQ,LWD vol in Bkf chnl& dry (m3/m2-SMLX),
PHab wadeable: large woody debris,V2WM100,LWD Vol in Bkf chnl (m3/100m-SMLX),
PHab boatable: large woody debris,V2WM100,LWD vol in Bkf chnl& dry (m3/100m-SMLX),
PHab boatable: large woody debris,V4W_MSQ,LWD vol in Bkf chnl & dry (m3/m2-LX),
PHab wadeable: large woody debris,V4W_MSQ,LWD Vol in Bkf chnl (m3/m2-LX),
PHab boatable: large woody debris,V4WM100,LWD vol in Bkf chnl & dry (m3/100m-LX),
PHab wadeable: large woody debris,V4WM100,LWD Vol in Bkf chnl (m3/100m-LX),
VERIF,VISIT_NO,Number identifying which visit this is,|1|2
PHab boatable: human disturbance,W1_HAG,Human Agricultural Influence Index(distance-wtd tally of types and presence,
PHab wadeable: human disturbance,W1_HAG,Human Agricultural Influence Index(distance-wtd tally of types and presence,
PHab boatable: human disturbance,W1_HALL,Human Disturbance Index(distance-wtd tally of types and presence,
PHab wadeable: human disturbance,W1_HALL,Human Disturbance Index(distance-wtd tally of types and presence,
PHAB,W1_HALL,Human Disturbance Index(distance-wtd tally of types and presence used for condition,
PHab boatable: human disturbance,W1_HNOAG,Human Non-Agricultural Disturbance Index (distance weighted tally of types and presence),
PHab wadeable: human disturbance,W1_HNOAG,Human Non-Agricultural Disturbance Index (distance weighted tally of types and presence),
PHab boatable: human disturbance,W1H_BLDG,Rip Dist--Buildings (ProxWt Pres),
PHab wadeable: human disturbance,W1H_BLDG,Rip Dist--Buildings (ProxWt Pres),
PHab boatable: human disturbance,W1H_CROP,Near Channel Human Dist : Row Crops (distance-wtd tally of presence,
PHab wadeable: human disturbance,W1H_CROP,Near Channel Human Dist : Row Crops (distance-wtd tally of presence,
PHab boatable: human disturbance,W1H_LDFL,Rip Dist--Trash/Landfill (ProxWt Pres),
PHab wadeable: human disturbance,W1H_LDFL,Rip Dist--Trash/Landfill (ProxWt Pres),
PHab boatable: human disturbance,W1H_LOG,Rip Dist--Logging Activity (ProxWt Pres),
PHab wadeable: human disturbance,W1H_LOG,Rip Dist--Logging Activity (ProxWt Pres),
PHab boatable: human disturbance,W1H_MINE,Rip Dist--Mining Activity (ProxWt Pres),
PHab wadeable: human disturbance,W1H_MINE,Rip Dist--Mining Activity (ProxWt Pres),
PHab boatable: human disturbance,W1H_PARK,Rip Dist--Lawn/Park (ProxWt Pres),
PHab wadeable: human disturbance,W1H_PARK,Rip Dist--Lawn/Park (ProxWt Pres),
PHab boatable: human disturbance,W1H_PIPE,Rip Dist--Pipes infl/effl (ProxWt Pres),
PHab wadeable: human disturbance,W1H_PIPE,Rip Dist--Pipes infl/effl (ProxWt Pres),
PHab boatable: human disturbance,W1H_PSTR,Rip Dist--Pasture/Hayfield (ProxWt Pres),
PHab wadeable: human disturbance,W1H_PSTR,Rip Dist--Pasture/Hayfield (ProxWt Pres),
PHab boatable: human disturbance,W1H_PVMT,Rip Dist--Pavement (ProxWt Pres),
PHab wadeable: human disturbance,W1H_PVMT,Rip Dist--Pavement (ProxWt Pres),
PHab boatable: human disturbance,W1H_ROAD,Rip Dist--Road/Railroad (ProxWt Pres),
PHab wadeable: human disturbance,W1H_ROAD,Rip Dist--Road/Railroad (ProxWt Pres),
PHab boatable: human disturbance,W1H_WALL,Near Channel Human Dist : Walls/dikes/revetments(distance-wtd tally of presence,
PHab wadeable: human disturbance,W1H_WALL,Near Channel Human Dist : Walls/dikes/revetments(distance-wtd tally of presence,
PHab boatable: slope & bearing,XBEARING,Mean Flow Direction of reach (degrees),
PHab wadeable: slope & bearing,XBEARING,Mean Flow Direction of reach (degrees),
PHab wadeable: bank morphology,XBKA,Bank Angle--mean (degrees),
PHab boatable: channel morphology,XBKF_H,Mean Bankfull Height above wetted channel (m),
PHab wadeable: channel morphology,XBKF_H,Mean Bankfull Height above wetted channel (m),
PHab boatable: channel morphology,XBKF_W,Mean Bankfull Width (m),
PHab wadeable: channel morphology,XBKF_W,Mean Bankfull Width (m),
PHab boatable: riparian vegetation,XC,Canopy Mean Areal Cover proportion,
PHab wadeable: riparian vegetation,XC,Canopy Mean Areal Cover proportion,
PHab boatable: canopy densiometer,XCDENBK,Canopy Density at bank (mean percent),
PHab wadeable: canopy densiometer,XCDENBK,Canopy Density at bank (mean percent),
PHab boatable: canopy densiometer,XCDENMID,Canopy Density at mid-channel (mean percent),
PHab wadeable: canopy densiometer,XCDENMID,Canopy Density at mid-channel (mean percent),
PHab boatable: substrate embeddedness,XCEMBED,Mean Embeddedness--Channel only (%),
PHab wadeable: substrate embeddedness,XCEMBED,Mean Embeddedness--Channel only (%),
PHab boatable: riparian vegetation,XCL,Large diameter (Dbh>0.3m) Tree Canopy Areal Cover proportion,
PHab wadeable: riparian vegetation,XCL,Large diameter (Dbh>0.3m) Tree Canopy Areal Cover proportion,
PHab boatable: riparian vegetation,XCM,Rip Veg Canopy+Mid Layer Cover,
PHab wadeable: riparian vegetation,XCM,Rip Veg Canopy+Mid Layer Cover,
PHab boatable: riparian vegetation,XCMG,Sum of Canopy+Mid+Ground layer areal cover proportion,
PHab wadeable: riparian vegetation,XCMG,Sum of Canopy+Mid+Ground layer areal cover proportion,
PHab boatable: riparian vegetation,XCMGW,Sum of Woody Canopy+Mid+Ground layer areal cover proportion,
PHab wadeable: riparian vegetation,XCMGW,Sum of Woody Canopy+Mid+Ground layer areal cover proportion,
PHab boatable: riparian vegetation,XCMW,Rip Veg Canopy+Mid Layer Woody Cover,
PHab wadeable: riparian vegetation,XCMW,Rip Veg Canopy+Mid Layer Woody Cover,
PHab boatable: riparian vegetation,XCS,Riparian Canopy <= 0.3m DBH (Cover),
PHab wadeable: riparian vegetation,XCS,Riparian Canopy <= 0.3m DBH (Cover),
PHab wadeable: channel morphology,XDEPTH,Mean thalweg depth (cm),
PHab boatable: channel morphology,XDEPTH,Mean thalweg depth (m),
PHab boatable: channel morphology,XDEPTH_CM,Mean thalweg depth (cm),
PHab wadeable: channel morphology,XDEPTH_CM,Mean thalweg depth (cm),
PHab boatable: substrate embeddedness,XEMBED,Mean streambed embeddedness (%),
PHab wadeable: substrate embeddedness,XEMBED,Mean streambed embeddedness (%),
PHab boatable: fish cover,XFC_ALG,Filamentous algae Mean areal cover,
PHab wadeable: fish cover,XFC_ALG,Filamentous algae Mean areal cover,
PHab wadeable: fish cover,XFC_ALL,Fish Cvr-All Types (Sum Areal Prop),
PHab boatable: fish cover,XFC_ALL,Lit. cover-sum(all) (Areal Prop),
PHab boatable: fish cover,XFC_AQM,Aquatic macrophyte mean areal cover,
PHab wadeable: fish cover,XFC_AQM,Aquatic macrophyte mean areal cover,
PHab wadeable: fish cover,XFC_BIG,Fish Cvr-LWDRCKUCBorHUM(Sum Area Prop),
PHab boatable: fish cover,XFC_BIG,Lit. cvr-sum(LWDRCKUCBHUM Area Prop),
PHab wadeable: fish cover,XFC_BRS,Fish Cvr-Brush&Small Debris (Areal Prop),
PHab boatable: fish cover,XFC_BRS,Lit. cvr-brush&small debris (Areal Prop),
PHab wadeable: fish cover,XFC_HUM,Fish Cvr-Artif. Structs. (Areal Prop),
PHab boatable: fish cover,XFC_HUM,Lit. cover-artif. structs. (Areal Prop),
PHab boatable: fish cover,XFC_LVT,Fish Cvr-Artif. Structs. (Areal Prop),
PHab wadeable: fish cover,XFC_LVT,Fish Cvr-Artif. Structs. (Areal Prop),
PHab boatable: fish cover,XFC_LWD,Large woody debris areal cover,
PHab wadeable: fish cover,XFC_LWD,Large woody debris areal cover,
PHab boatable: fish cover,XFC_NAT,Sum of non-anthropogenic fish areal cover types,
PHab wadeable: fish cover,XFC_NAT,Sum of non-anthropogenic fish areal cover types,
PHab wadeable: fish cover,XFC_OHV,Fish Cvr-Overhang Veg (Areal Prop),
PHab boatable: fish cover,XFC_OHV,Lit. cover-overhang veg (Areal Prop),
PHab wadeable: fish cover,XFC_RCK,Fish Cvr-Boulders (Areal Prop),
PHab boatable: fish cover,XFC_RCK,Littoral fish cvr-boulders (Areal Prop),
PHab wadeable: fish cover,XFC_UCB,Fish Cvr-Undercut Banks (Areal Prop),
PHab boatable: fish cover,XFC_UCB,Lit. cover-undercut banks (Areal Prop),
PHab boatable: riparian vegetation,XG,Riparian Veg Ground Layer Cover,
PHab wadeable: riparian vegetation,XG,Riparian Veg Ground Layer Cover,
PHab boatable: riparian vegetation,XGB,Barren ground layer areal cover,
PHab wadeable: riparian vegetation,XGB,Barren ground layer areal cover,
PHab boatable: riparian vegetation,XGH,Non-woody ground layer areal cover,
PHab wadeable: riparian vegetation,XGH,Non-woody ground layer areal cover,
PHab boatable: riparian vegetation,XGW,Woody ground layer areal cover,
PHab wadeable: riparian vegetation,XGW,Woody ground layer areal cover,
PHab boatable: channel morphology,XINC_H,Terrace Height above water level (m),
PHab wadeable: channel morphology,XINC_H,Terrace Height above water level (m),
PHab boatable: riparian vegetation,XM,Riparian Veg Mid Layer Cover,
PHab wadeable: riparian vegetation,XM,Riparian Veg Mid Layer Cover,
PHab boatable: riparian vegetation,XMH,Rip Mid Layer Herbaceous (Cover),
PHab wadeable: riparian vegetation,XMH,Rip Mid Layer Herbaceous (Cover),
PHab boatable: riparian vegetation,XMW,Rip Mid Layer Woody (Cover),
PHab wadeable: riparian vegetation,XMW,Rip Mid Layer Woody (Cover),
PHab boatable: riparian vegetation,XPCAN,Rip Canopy Present (Fraction of reach),
PHab wadeable: riparian vegetation,XPCAN,Rip Canopy Present (Fraction of reach),
PHab boatable: riparian vegetation,XPCM,Rip Can & MidLayer Present (Frac. reach),
PHab wadeable: riparian vegetation,XPCM,Rip Can & MidLayer Present (Frac. reach),
PHab boatable: riparian vegetation,XPCMG,Riparian 3-Layers Present (Fract. reach),
PHab wadeable: riparian vegetation,XPCMG,Riparian 3-Layers Present (Fract. reach),
PHab boatable: riparian vegetation,XPMGW,Rip. mid & gnd wood Present (Frac. reach),
PHab wadeable: riparian vegetation,XPMGW,Rip. mid & gnd wood Present (Frac. reach),
PHab wadeable: riparian vegetation,XPMID,Rip MidLayer Present (Fraction of reach),
PHab boatable: riparian vegetation,XPMID,Rip MidLayer Present (Fraction of reach),
PHab boatable: channel characteristics,XSHOR2VG,Distance (m) from shoreline to vegetation Boatable only,
PHab boatable: slope & bearing,XSLOPE,Mean Slope of water surface (%),
PHab wadeable: slope & bearing,XSLOPE,Mean Slope of water surface (%),
PHab boatable: slope and bearing,XSLOPE_FIELD,Reach mean channel slope according to field-based measurements,
PHab wadeable: slope and bearing,XSLOPE_FIELD,Reach mean channel slope according to field-based measurements,
PHab boatable: slope and bearing,XSLOPE_MAP,Reach mean channel slope according to map-based calculations,
PHab wadeable: slope and bearing,XSLOPE_MAP,Reach mean channel slope according to map-based calculations,
slope & bearing,XSLOPE_MAP,Reach mean channel slope according to map-based calculations,
PHab wadeable: bank morphology,XUN,Undercut Distance--Mean (m),
PHab boatable: channel morphology,XWD_RAT,Mean Wetted Width/Thalweg Depth ratio,
PHab wadeable: channel morphology,XWD_RAT,Mean Wetted Width/Thalweg Depth ratio,
PHab boatable: channel morphology,XWIDTH,Mean Wetted Width (m),
PHab wadeable: channel morphology,XWIDTH,Mean Wetted Width (m),
PHab boatable: channel morphology,XWXD,Mean Wetted Width x Thalweg depth (m2),
PHab wadeable: channel morphology,XWXD,Mean Wetted Width x Thalweg depth (m2),
